object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;DIATM;Actinocyclus normanii;3;n;15000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;DIATM;Aulacoseira;15;n;75000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Biota;13;n;2024922;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Chlorophyta;4;n;20000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Chromista [1];2;n;311526;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;DIATM;Coscinodiscophyceae;3;n;467290;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Cryptomonadales;3;n;15000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Cyanophyta;4;n;623053;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Khakista;3;n;15000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;DIATM;Rhaphoneis amphiceros;2;n;10000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];17;n;85000;n/L;NA
SCHLD_0001;2005-01-12T00:00:00Z;10044229;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Biota;72;n;100000000;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Biota;1;n;155280;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;DIATM;Chaetoceros subtilis;3;n;15000;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Choanoflagellatea;1;n;155280;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Chromista [1];1;n;1388889;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Cryptomonadales;2;n;186106;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Cyanophyta;8;n;1242236;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Khakista;7;n;1086957;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Khakista;1;n;5000;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;DIATM;Paralia sulcata;1;n;5000;n/L;NA
SCHLD_0001;2005-02-09T00:00:00Z;10044461;NUMBPERVLM;PHYTPT;Prymnesiales;1;n;155280;n/L;NA
