object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;DIATM;Actinocyclus normanii;2;n;1600;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Aphanizomenon;35;n;10000;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Chlorophyta;6;n;400000;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Chromista [1];8;n;533333;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Chroococcales;145;n;9666666;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Cryptomonadales;6;n;84507;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Dinobryon;2;n;28169;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Euglenophyceae;1;n;285;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Eukaryota;6;n;2033898;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Khakista;4;n;161502;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Khakista;1;n;800;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Micromonas pusilla;7;n;2372881;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Planktothrix agardhii;50;n;14285;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];2;n;133333;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;15;n;12000;n/L;NA
SCHLD_0001;2012-03-12T00:00:00Z;2012002943;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Chromista [1];7;n;466666;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Chrysococcus;1;n;66666;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;DIATM;Coscinodiscophyceae;3;n;200000;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;DIATM;Coscinodiscopsis commutata;1;n;285;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Cryptomonadales;11;n;365258;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Eukaryota;2;n;133333;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Eukaryota;10;n;3389830;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Heterocapsa;5;n;70422;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Khakista;4;n;56338;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Khakista;1;n;66666;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Micromonas pusilla;6;n;2033898;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Pyramimonas;1;n;66666;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];1;n;66666;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;DIATM;Thalassiosira;1;n;66666;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;111;n;88800;n/L;NA
SCHLD_0001;2012-03-27T00:00:00Z;2012003462;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;DIATM;Asteroplanus kariana;11;n;22000;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Biota;1;n;338983;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;DIATM;Chaetoceros subtilis;2;n;133333;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Chromista [1];16;n;1066666;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;DIATM;Coscinodiscophyceae;5;n;333333;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Cryptomonadales;4;n;214084;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;DIATM;Delphineis;3;n;42253;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Eukaryota;15;n;5084745;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Khakista;12;n;2978531;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Khakista;1;n;66666;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Micromonas pusilla;1;n;338983;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Monoraphidium;2;n;133333;n/L;NA
SCHLD_0001;2012-04-11T00:00:00Z;2012003896;NUMBPERVLM;PHYTPT;Paulinella ovalis;1;n;66666;n/L;NA
