object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Anabaena;58;n;8592592;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Cryptomonadales;1;n;148148;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Eukaryota;9;n;8444444;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Heterocapsa;2;n;27472;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Khakista;9;n;1064509;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Khakista;1;n;13736;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Planktothrix agardhii;200;n;105263;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Pyramimonas;1;n;13736;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];18;n;247252;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;DIATM;Thalassiosira;1;n;13736;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;72;n;110769;n/L;NA
SCHLD_0001;2014-03-24T00:00:00Z;2014003240;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;DIATM;Actinoptychus senarius;1;n;13736;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;DIATM;Aulacoseira;2;n;27472;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;DIATM;Coscinodiscophyceae;1;n;148148;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;PHYTPT;Cryptomonadales;2;n;296296;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;PHYTPT;Eukaryota;2;n;2666666;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;PHYTPT;Khakista;4;n;592592;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;PHYTPT;Khakista;2;n;27472;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;DIATM;Odontella longicruris;1;n;526;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;150;n;230769;n/L;NA
SCHLD_0001;2014-04-07T00:00:00Z;2014003600;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2014-04-22T00:00:00Z;2014004029;NUMBPERVLM;DIATM;Asterionellopsis glacialis;4;n;6153;n/L;NA
SCHLD_0001;2014-04-22T00:00:00Z;2014004029;NUMBPERVLM;DIATM;Chaetoceros subtilis;6;n;82417;n/L;NA
SCHLD_0001;2014-04-22T00:00:00Z;2014004029;NUMBPERVLM;PHYTPT;Chromista [1];7;n;1037037;n/L;NA
SCHLD_0001;2014-04-22T00:00:00Z;2014004029;NUMBPERVLM;DIATM;Coscinodiscophyceae;2;n;296296;n/L;NA
