object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Biota;24;n;4261824;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Biota;3;n;196078;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Chromista [1];7;n;457516;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;DIATM;Coscinodiscophyceae;7;n;457516;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Cryptomonadales;1;n;65359;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Eukaryota;6;n;1764705;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;DIATM;Eunotogramma dubium;1;n;65359;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Khakista;1;n;13458;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];2;n;26917;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;DIATM;Thalassiosira;1;n;13458;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;NUMBPERVLM;DIATM;Thalassiosira nodulolineata;12;n;24000;n/L;NA
SCHLD_0001;2010-01-05T00:00:00Z;2010100271;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Biota;23;n;10620915;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Biota;5;n;816993;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Chlorophyta;2;n;326797;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Chromista [1];6;n;980392;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;DIATM;Coscinodiscophyceae;2;n;326797;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Cryptomonadales;5;n;816993;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;DIATM;Delphineis;1;n;163398;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Eukaryota;13;n;9558823;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;PHYTPT;Heterocapsa;2;n;67294;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;DIATM;Paralia sulcata;3;n;6000;n/L;NA
SCHLD_0001;2010-02-02T00:00:00Z;2010101970;NUMBPERVLM;DIATM;Rhaphoneis amphiceros;1;n;2000;n/L;NA
