object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2008-01-07T00:00:00Z;10063670;NUMBPERVLM;PHYTPT;Biota;2;n;1851852;n/L;NA
SCHLD_0001;2008-01-07T00:00:00Z;10063670;NUMBPERVLM;PHYTPT;Biota;5;n;624904;n/L;NA
SCHLD_0001;2008-01-07T00:00:00Z;10063670;NUMBPERVLM;PHYTPT;Khakista;1;n;5000;n/L;NA
SCHLD_0001;2008-01-07T00:00:00Z;10063670;NUMBPERVLM;PHYTPT;Pediastrum;8;n;40000;n/L;NA
SCHLD_0001;2008-01-07T00:00:00Z;10063670;NUMBPERVLM;PHYTPT;Prymnesiales;1;n;185185;n/L;NA
SCHLD_0001;2008-01-07T00:00:00Z;10063670;NUMBPERVLM;DIATM;Thalassiosira;1;n;5000;n/L;NA
SCHLD_0001;2008-01-07T00:00:00Z;10063670;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Biota;13;n;2407407;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Biota;3;n;555556;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Choanoflagellatea;1;n;185185;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Chromista [1];1;n;185185;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;DIATM;Coscinodiscophyceae;2;n;190185;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Cryptomonadales;2;n;190185;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Cyanophyta;1;n;5000;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Euglenophyceae;1;n;5000;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];11;n;55000;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;DIATM;Stephanodiscaceae;1;n;5000;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;NUMBPERVLM;DIATM;Thalassiosira;3;n;15000;n/L;NA
SCHLD_0001;2008-02-04T00:00:00Z;10063897;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;DIATM;Actinocyclus normanii;2;n;3077;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Biota;4;n;201106;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Biota;1;n;50277;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Choanoflagellatea;6;n;301659;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;DIATM;Coscinodiscophyceae;2;n;3077;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Cryptomonadales;8;n;201437;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Heterocapsa;1;n;50277;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Khakista;2;n;20243;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Khakista;4;n;40486;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;DIATM;Melosira [1];2;n;3077;n/L;NA
SCHLD_0001;2008-03-03T00:00:00Z;10064927;NUMBPERVLM;PHYTPT;Paulinella ovalis;1;n;50277;n/L;NA
