object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;DIATM;Aulacoseira;6;n;37500;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Biota;38;n;11515152;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Biota;3;n;909091;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Chlorophyta;7;n;2121212;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;DIATM;Coscinodiscophyceae;1;n;33784;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Cryptomonadales;4;n;4000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Cyanophyta;35;n;1182432;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Euglenophyceae;1;n;1000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Khakista;1;n;1000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Limnothrix;29;n;29000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Monoraphidium;1;n;33784;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;DIATM;Nitzschia sigma;2;n;2000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Pediastrum;12;n;12000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];14;n;87500;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;DIATM;Stephanodiscaceae;1;n;6250;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;NUMBPERVLM;PHYTPT;Tetrastrum;4;n;4000;n/L;NA
SCHLD_0001;2003-01-14T00:00:00Z;10029590;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;DIATM;Actinocyclus normanii;1;n;833;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Biota;8;n;12121212;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Biota;6;n;1013514;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Chlorophyta;14;n;2364865;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Chromista [1];2;n;337838;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;DIATM;Coscinodiscophyceae;3;n;170586;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Cryptomonadales;3;n;170586;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Cyanophyta;6;n;30000;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;DIATM;Fragilariaceae;8;n;40000;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Khakista;2;n;10000;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Peridiniales;1;n;31250;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];4;n;20000;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Spirulina;1;n;31250;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;DIATM;Stephanodiscaceae;3;n;2500;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;NUMBPERVLM;PHYTPT;Tetrastrum;16;n;500000;n/L;NA
SCHLD_0001;2003-02-11T00:00:00Z;10031173;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;DIATM;Aulacoseira;7;n;5833;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Biota;7;n;1182432;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Biota;9;n;12152462;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Chlorophyta;4;n;675676;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Choanoflagellatea;1;n;1515152;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Chromista [1];1;n;168919;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;DIATM;Coscinodiscophyceae;2;n;62500;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Cryptomonadales;3;n;2500;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Cyanophyta;20;n;16667;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Eukaryota;2;n;3030303;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Gymnodiniales [1];2;n;1667;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Khakista;2;n;62500;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;PHYTPT;Merismopedia;4;n;3333;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;DIATM;Nitzschia sigma;1;n;833;n/L;NA
SCHLD_0001;2003-03-10T00:00:00Z;10031322;NUMBPERVLM;DIATM;Plagiogrammopsis;2;n;62500;n/L;NA
