object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2015-03-12T00:00:00Z;2015002796;NUMBPERVLM;PHYTPT;Phaeocystis;0;n;0;n/L;NA
SCHLD_0001;2015-03-12T00:00:00Z;2015002799;NUMBPERVLM;PHYTPT;Phaeocystis;0;n;0;n/L;NA
SCHLD_0001;2015-03-12T00:00:00Z;2015002800;NUMBPERVLM;PHYTPT;Phaeocystis;0;n;0;n/L;NA
SCHLD_0001;2015-03-12T00:00:00Z;2015002801;NUMBPERVLM;PHYTPT;Phaeocystis;0;n;0;n/L;NA
SCHLD_0001;2015-03-12T00:00:00Z;2015002796;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2015-03-12T00:00:00Z;2015002799;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2015-03-12T00:00:00Z;2015002800;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2015-03-12T00:00:00Z;2015002801;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;PHYTPT;Biota;2;n;296296;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;PHYTPT;Biota;4;n;2666666;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;DIATM;Chaetoceros subtilis;6;n;42857;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;DIATM;Chaetoceros tenuissimus;1;n;148148;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;PHYTPT;Choanoflagellatea;1;n;148148;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;PHYTPT;Chromista [1];2;n;296296;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;DIATM;Coscinodiscophyceae;6;n;318010;n/L;NA
SCHLD_0001;2015-04-08T00:00:00Z;2015003256;NUMBPERVLM;PHYTPT;Cryptomonadales;4;n;169576;n/L;NA
