object_code;measurement_date;measurement_reference;quantity_code;parameter_type;parameter_specification;value_measured;unit_measured;value_calculated;unit_calculated;classification_code
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;DIATM;Actinocyclus normanii;1;n;5000;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;DIATM;Aulacoseira;6;n;30000;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Biota;5;n;7575758;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Biota;3;n;506757;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Chlorophyta;3;n;506757;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Chromista [1];5;n;844595;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Chroococcales;22;n;3716216;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Cryptomonadales;3;n;6667;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Cyanophyta;60;n;50000;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Gloeotila;10;n;8333;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Heterocapsa;2;n;1667;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Khakista;9;n;45000;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Planktothrix agardhii;20;n;16667;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];1;n;168919;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;DIATM;Stephanodiscaceae;2;n;5833;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;NUMBPERVLM;DIATM;Thalassiosira;1;n;833;n/L;NA
SCHLD_0001;2002-01-16T00:00:00Z;10021388;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Actinocyclus normanii;1;n;5000;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Amphora [1];2;n;1667;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Biota;6;n;6123106;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Biota;3;n;506757;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Chlorophyta;1;n;833;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Chlorophyta;5;n;431588;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Choanoflagellatea;1;n;168919;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Chromista [1];2;n;337838;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Chroococcales;42;n;7094595;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Coscinodiscophyceae;3;n;506757;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Cryptomonadales;7;n;66667;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Delphineis;2;n;1667;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Diatoma tenuis;1;n;833;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Euglenophyceae;1;n;833;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Khakista;2;n;337838;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Khakista;1;n;833;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Khakista;1;n;5000;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Limnothrix;10;n;8333;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Melosira nummuloides;2;n;1667;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Pediastrum;24;n;20000;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Peridiniales;1;n;833;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Phacus;1;n;833;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Planktothrix agardhii;240;n;200000;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;PHYTPT;Scenedesmaceae [1];7;n;218750;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;NUMBPERVLM;DIATM;Stephanodiscaceae;7;n;35000;n/L;NA
SCHLD_0001;2002-02-13T00:00:00Z;10021389;EQPMNT;NA;NA;0;DIMLSS;0;DIMLSS;SAMPSTCK
